Parameter Combination,Recall,Precision
max_depth_1_eta_0.1_num_round_0,1.0,0.66
max_depth_1_eta_0.1_num_round_2,1.0,0.66
max_depth_1_eta_0.1_num_round_3,1.0,0.66
max_depth_1_eta_0.1_num_round_4,1.0,0.66
max_depth_1_eta_0.2_num_round_0,1.0,0.66
max_depth_1_eta_0.2_num_round_2,1.0,0.66
max_depth_1_eta_0.3_num_round_0,1.0,0.66
max_depth_1_eta_0.3_num_round_2,1.0,0.66
max_depth_1_eta_0.4_num_round_0,1.0,0.66
max_depth_1_eta_0.4_num_round_2,1.0,0.66
max_depth_1_eta_0.5_num_round_0,1.0,0.66
max_depth_2_eta_0.1_num_round_0,1.0,0.66
max_depth_2_eta_0.2_num_round_0,1.0,0.66
max_depth_2_eta_0.3_num_round_0,1.0,0.66
max_depth_2_eta_0.4_num_round_0,1.0,0.66
max_depth_2_eta_0.5_num_round_0,1.0,0.66
max_depth_3_eta_0.1_num_round_0,1.0,0.66
max_depth_3_eta_0.2_num_round_0,1.0,0.66
max_depth_3_eta_0.3_num_round_0,1.0,0.66
max_depth_3_eta_0.4_num_round_0,1.0,0.66
max_depth_3_eta_0.5_num_round_0,1.0,0.66
max_depth_4_eta_0.1_num_round_0,1.0,0.66
max_depth_4_eta_0.2_num_round_0,1.0,0.66
max_depth_4_eta_0.3_num_round_0,1.0,0.66
max_depth_4_eta_0.4_num_round_0,1.0,0.66
max_depth_4_eta_0.5_num_round_0,1.0,0.66
max_depth_5_eta_0.1_num_round_0,1.0,0.66
max_depth_5_eta_0.2_num_round_0,1.0,0.66
max_depth_5_eta_0.3_num_round_0,1.0,0.66
max_depth_5_eta_0.4_num_round_0,1.0,0.66
max_depth_5_eta_0.5_num_round_0,1.0,0.66
max_depth_6_eta_0.1_num_round_0,1.0,0.66
max_depth_6_eta_0.2_num_round_0,1.0,0.66
max_depth_6_eta_0.3_num_round_0,1.0,0.66
max_depth_6_eta_0.4_num_round_0,1.0,0.66
max_depth_6_eta_0.5_num_round_0,1.0,0.66
max_depth_7_eta_0.1_num_round_0,1.0,0.66
max_depth_7_eta_0.2_num_round_0,1.0,0.66
max_depth_7_eta_0.3_num_round_0,1.0,0.66
max_depth_7_eta_0.4_num_round_0,1.0,0.66
