Rank,Features_used,recall,precision
1,"caveman_features,LDA_features",0.9620853080568721,0.66996699669967
2,"LDA_features,chi_squared_features",0.95260663507109,0.6722408026755853
3,bertfeatures,0.9241706161137441,0.6747404844290658
4,"caveman_features,chi_squared_features,bertfeatures",0.9146919431279621,0.6967509025270758
5,"caveman_features,chi_squared_features,bertfeatures,Word2vec_features",0.909952606635071,0.7084870848708487
5,"chi_squared_features,bertfeatures,Word2vec_features",0.909952606635071,0.6931407942238267
7,"non_Nlp,LDA_features,Word2vec_features",0.9052132701421801,0.6821428571428572
8,"non_Nlp,caveman_features,chi_squared_features,bertfeatures,Word2vec_features",0.9004739336492891,0.7037037037037037
9,"caveman_features,LDA_features,bertfeatures",0.8957345971563981,0.6948529411764706
9,"LDA_features,chi_squared_features,Word2vec_features",0.8957345971563981,0.675
11,"caveman_features,chi_squared_features",0.8909952606635071,0.7258687258687259
11,"non_Nlp,chi_squared_features,bertfeatures,Word2vec_features",0.8909952606635071,0.7175572519083969
13,"caveman_features,bertfeatures",0.8862559241706162,0.722007722007722
15,"caveman_features,LDA_features,chi_squared_features,bertfeatures",0.8815165876777251,0.7099236641221374
15,"caveman_features,LDA_features,chi_squared_features,Word2vec_features",0.8815165876777251,0.6838235294117647
15,"non_Nlp,LDA_features",0.8815165876777251,0.7045454545454546
17,"LDA_features,chi_squared_features,bertfeatures,Word2vec_features",0.8767772511848341,0.7034220532319392
17,"non_Nlp,caveman_features,LDA_features",0.8767772511848341,0.7489878542510121
19,"LDA_features,Word2vec_features",0.8720379146919431,0.7131782945736435
19,"caveman_features,LDA_features,Word2vec_features",0.8720379146919431,0.7076923076923077
22,"non_Nlp,caveman_features",0.8672985781990521,0.75
22,"chi_squared_features,bertfeatures",0.8672985781990521,0.7093023255813954
22,"non_Nlp,caveman_features,LDA_features,chi_squared_features",0.8672985781990521,0.7261904761904762
24,"caveman_features,LDA_features,bertfeatures,Word2vec_features",0.8625592417061612,0.708171206225681
25,caveman_features,0.8578199052132701,0.7387755102040816
27,"non_Nlp,Word2vec_features",0.8530805687203792,0.7171314741035857
27,"non_Nlp,caveman_features,LDA_features,Word2vec_features",0.8530805687203792,0.72
27,"non_Nlp,LDA_features,chi_squared_features,Word2vec_features",0.8530805687203792,0.7142857142857143
27,"non_Nlp,LDA_features,chi_squared_features",0.8530805687203792,0.7468879668049793
32,"non_Nlp,caveman_features,LDA_features,bertfeatures",0.8436018957345972,0.7325102880658436
32,"non_Nlp,caveman_features,bertfeatures",0.8436018957345972,0.7355371900826446
32,"chi_squared_features,Word2vec_features",0.8436018957345972,0.7235772357723578
32,"non_Nlp,caveman_features,chi_squared_features",0.8436018957345972,0.7416666666666667
32,"bertfeatures,Word2vec_features",0.8436018957345972,0.689922480620155
32,"non_Nlp,caveman_features,chi_squared_features,Word2vec_features",0.8436018957345972,0.689922480620155
36,"non_Nlp,caveman_features,bertfeatures,Word2vec_features",0.8388625592417062,0.7405857740585774
36,"non_Nlp,LDA_features,bertfeatures,Word2vec_features",0.8388625592417062,0.731404958677686
38,Word2vec_features,0.8341232227488151,0.7096774193548387
39,"caveman_features,LDA_features,chi_squared_features,bertfeatures,Word2vec_features",0.8293838862559242,0.7028112449799196
39,"caveman_features,bertfeatures,Word2vec_features",0.8293838862559242,0.7142857142857143
42,"caveman_features,LDA_features,chi_squared_features",0.8246445497630331,0.725
42,"non_Nlp,bertfeatures",0.8246445497630331,0.7467811158798283
42,"non_Nlp,chi_squared_features",0.8246445497630331,0.725
42,"caveman_features,Word2vec_features",0.8246445497630331,0.710204081632653
46,"caveman_features,chi_squared_features,Word2vec_features",0.8199052132701422,0.692
46,"non_Nlp,caveman_features,LDA_features,chi_squared_features,bertfeatures",0.8199052132701422,0.7330508474576272
46,"non_Nlp,chi_squared_features,Word2vec_features",0.8199052132701422,0.726890756302521
46,"non_Nlp,caveman_features,LDA_features,chi_squared_features,Word2vec_features",0.8199052132701422,0.6947791164658634
49,"non_Nlp,caveman_features,LDA_features,chi_squared_features,bertfeatures,Word2vec_features",0.8151658767772512,0.7288135593220338
51,"non_Nlp,caveman_features,Word2vec_features",0.8104265402843602,0.7245762711864406
51,"non_Nlp,LDA_features,chi_squared_features,bertfeatures,Word2vec_features",0.8104265402843602,0.7402597402597403
51,"non_Nlp,chi_squared_features,bertfeatures",0.8104265402843602,0.7370689655172413
51,"LDA_features,chi_squared_features,bertfeatures",0.8104265402843602,0.7307692307692307
54,"non_Nlp,caveman_features,chi_squared_features,bertfeatures",0.8056872037914692,0.7327586206896551
54,"non_Nlp,caveman_features,LDA_features,bertfeatures,Word2vec_features",0.8056872037914692,0.7456140350877193
56,"non_Nlp,LDA_features,chi_squared_features,bertfeatures",0.7962085308056872,0.7601809954751131
56,"LDA_features,bertfeatures,Word2vec_features",0.7962085308056872,0.7088607594936709
58,non_Nlp,0.7914691943127962,0.780373831775701
59,chi_squared_features,0.7867298578199052,0.7217391304347827
60,"non_Nlp,LDA_features,bertfeatures",0.7819905213270142,0.75
61,"non_Nlp,bertfeatures,Word2vec_features",0.7725118483412322,0.7688679245283019
62,"LDA_features,bertfeatures",0.7630331753554502,0.7123893805309734
63,LDA_features,0.7440758293838863,0.7040358744394619
