Rank,Features_used,recall,precision
1,"non_Nlp,LDA_features,chi_squared_features,bertfeatures,Word2vec_features",0.93,0.7
4,Word2vec_features,0.91,0.71
4,"non_Nlp,caveman_features,LDA_features,chi_squared_features",0.91,0.73
4,"non_Nlp,chi_squared_features,bertfeatures,Word2vec_features",0.91,0.71
4,"caveman_features,LDA_features,chi_squared_features,bertfeatures",0.91,0.71
4,"non_Nlp,chi_squared_features,Word2vec_features",0.91,0.72
4,"non_Nlp,caveman_features,chi_squared_features",0.91,0.73
9,"caveman_features,chi_squared_features,bertfeatures",0.9,0.7
9,"caveman_features,chi_squared_features,Word2vec_features",0.9,0.71
9,"non_Nlp,bertfeatures,Word2vec_features",0.9,0.72
9,"caveman_features,LDA_features,chi_squared_features,Word2vec_features",0.9,0.71
13,"caveman_features,LDA_features,chi_squared_features,bertfeatures,Word2vec_features",0.89,0.72
13,"caveman_features,LDA_features,bertfeatures,Word2vec_features",0.89,0.72
13,"caveman_features,Word2vec_features",0.89,0.69
13,"chi_squared_features,bertfeatures,Word2vec_features",0.89,0.75
18,"bertfeatures,Word2vec_features",0.88,0.71
18,"caveman_features,LDA_features,chi_squared_features",0.88,0.69
18,"chi_squared_features,Word2vec_features",0.88,0.72
18,"non_Nlp,caveman_features,LDA_features,chi_squared_features,Word2vec_features",0.88,0.72
18,"non_Nlp,chi_squared_features,bertfeatures",0.88,0.7
18,"non_Nlp,caveman_features,chi_squared_features,bertfeatures,Word2vec_features",0.88,0.73
25,"LDA_features,chi_squared_features",0.87,0.68
25,"non_Nlp,caveman_features,chi_squared_features,Word2vec_features",0.87,0.77
25,"caveman_features,chi_squared_features,bertfeatures,Word2vec_features",0.87,0.7
25,"non_Nlp,caveman_features",0.87,0.75
25,"non_Nlp,LDA_features,chi_squared_features,Word2vec_features",0.87,0.72
25,"non_Nlp,Word2vec_features",0.87,0.74
25,bertfeatures,0.87,0.69
31,"non_Nlp,caveman_features,bertfeatures,Word2vec_features",0.86,0.73
31,"non_Nlp,caveman_features,chi_squared_features,bertfeatures",0.86,0.74
31,"chi_squared_features,bertfeatures",0.86,0.69
31,"LDA_features,chi_squared_features,bertfeatures,Word2vec_features",0.86,0.71
31,caveman_features,0.86,0.74
31,"LDA_features,chi_squared_features,bertfeatures",0.86,0.71
36,"non_Nlp,caveman_features,LDA_features,chi_squared_features,bertfeatures",0.85,0.73
36,"non_Nlp,caveman_features,LDA_features,bertfeatures,Word2vec_features",0.85,0.74
36,"non_Nlp,caveman_features,LDA_features,chi_squared_features,bertfeatures,Word2vec_features",0.85,0.73
36,"LDA_features,bertfeatures",0.85,0.69
39,"non_Nlp,LDA_features,bertfeatures,Word2vec_features",0.84,0.73
39,"non_Nlp,caveman_features,Word2vec_features",0.84,0.76
42,"LDA_features,chi_squared_features,Word2vec_features",0.83,0.73
42,"caveman_features,LDA_features,bertfeatures",0.83,0.7
42,"caveman_features,bertfeatures,Word2vec_features",0.83,0.72
46,"caveman_features,LDA_features,Word2vec_features",0.82,0.74
46,"non_Nlp,bertfeatures",0.82,0.74
46,"non_Nlp,LDA_features",0.82,0.75
46,"non_Nlp,LDA_features,bertfeatures",0.82,0.7
46,"non_Nlp,caveman_features,LDA_features,Word2vec_features",0.82,0.79
46,"caveman_features,LDA_features",0.82,0.72
51,"caveman_features,bertfeatures",0.81,0.69
51,"caveman_features,chi_squared_features",0.81,0.73
51,"non_Nlp,LDA_features,chi_squared_features,bertfeatures",0.81,0.74
51,"non_Nlp,caveman_features,LDA_features",0.81,0.79
55,"non_Nlp,caveman_features,bertfeatures",0.8,0.74
55,"non_Nlp,caveman_features,LDA_features,bertfeatures",0.8,0.74
55,"LDA_features,bertfeatures,Word2vec_features",0.8,0.71
58,"non_Nlp,chi_squared_features",0.79,0.75
58,"non_Nlp,LDA_features,chi_squared_features",0.79,0.76
58,non_Nlp,0.79,0.78
60,"non_Nlp,LDA_features,Word2vec_features",0.78,0.77
61,LDA_features,0.75,0.7
62,chi_squared_features,0.73,0.76
63,"LDA_features,Word2vec_features",0.72,0.71
